Rank,Release,Opening,Open,Distributor,movie_id
169,5-Sep,"$80,802 ",Dec,Paramount Pictures,tt28082769
170,In the Land of Saints and Sinners,"$1,034,132 ",Mar,The Samuel Goldwyn Company,tt15782690
171,Bhool Bhulaiyaa 3,"$2,230,000 ",Nov,-,tt26932223
172,The Room Next Door,"$105,013 ",Dec,-,tt29439114
174,Singham Again,"$2,190,000 ",Nov,-,tt11976134
176,The Ark and the Darkness,"$32,021 ",Mar,Fathom Events,tt15845160
178,Nickel Boys,"$54,794 ",Dec,Amazon MGM Studios,tt23055660
179,The Order,"$877,855 ",Dec,Vertical Entertainment,tt26625693
180,Lee,"$713,255 ",Sep,Roadside Attractions,tt5112584
181,Look Back,"$690,171 ",Oct,GKIDS,tt31711040
182,Yolo,"$827,632 ",Mar,Sony Pictures Releasing,tt28151876
184,Better Man,"$18,259 ",Dec,Paramount Pictures,tt14260836
186,Out of Darkness,"$979,822 ",Feb,Bleecker Street Media,tt7527682
187,Werewolves,"$1,052,998 ",Dec,Briarcliff Entertainment,tt15041836
191,The Firing Squad,"$893,100 ",Aug,Atlas Distribution Company,tt30110854
193,City of Dreams,"$1,245,167 ",Aug,Roadside Attractions,tt6898324
196,Small Things Like These,"$596,451 ",Nov,Roadside Attractions,tt27196021
200,Turning Red,"$578,047 ",Feb,Walt Disney Studios Motion Pictures,tt8097030
